level;category;description;
L;000492;PORCAS SEXTAVADAS DUPLAS ROSCA ESQUERDA - NF;
L;000493;PORCAS SEXTAVADAS - FERRO CLASSE 6 - MA;
L;000494;PORCAS SEXTAVADAS - FERRO CLASSE 6 - MB;
L;000495;PORCAS SEXTAVADAS - FERRO GR.2 - NC;
L;000496;PORCAS SEXTAVADAS - FERRO GR.2 - NF;
L;000497;PORCAS SEXTAVADAS - FERRO CLASSE 6 - FIAT;
L;000498;PORCAS SEXTAVADAS DUPLAS - FERRO CLASSE 6 - MA;
L;000499;PORCAS SEXTAVADAS DUPLAS - FERRO CLASSE 6 - MB;
L;000500;PORCAS SEXTAVADAS DUPLAS - FERRO GR.2 - NC;
L;000501;PORCAS SEXTAVADAS DUPLAS - FERRO GR.2 - NF;
L;000502;PORCAS SEXTAVADAS DUPLAS - FERRO CLASSE 6 - FIAT;
L;000503;PORCAS SEXTAVADAS - FERRO GR.2 - WW;
L;000504;PORCAS SEXTAVADAS DUPLAS - FERRO GR.2 - WW;
L;000505;PORCAS SEXTAVADAS PESADAS - AÇO 1045 - NC;
L;000506;PORCAS SEXTAVADAS PESADAS - AÇO 1045 - NF;
L;000507;PORCAS SEXTAVADAS INOX;
L;000508;PORCAS SEXTAVADAS CASTELADAS COM COROA - MA;
L;000509;PORCAS SEXTAVADAS CASTELADAS COM COROA - MB;
L;000510;PORCAS SEXTAVADAS CASTELADAS COM COROA - NC;
L;000511;PORCAS SEXTAVADAS CASTELADAS COM COROA - NF;
L;000512;PORCAS SEXTAVADAS CASTELADAS SEMI EIXO;
L;000513;PORCAS SEXTAVADAS CASTELADAS SEM COROA - MA;
L;000514;PORCAS SEXTAVADAS CASTELADAS SEM COROA - MB;
L;000515;PORCAS SEXTAVADAS CASTELADAS SEM COROA - NC;
L;000516;PORCAS SEXTAVADAS CASTELADAS SEM COROA - NF;
L;000517;PORCAS PARA PONTEIRAS CARDAN;
L;000518;PORCAS TUCHO;
L;000519;PORCAS TURBINA;
L;000520;ESCOVAS;
L;000521;PINOS DO ESTABILIZADOR;
L;000522;PINOS COM ROSCA;
L;000523;TRAVAS PINO BALANÇA;
L;000524;MANGUEIRAS CRISTAIS TRANÇADAS;
L;000525;ANÉIS ELÁSTICOS ESPECIAIS;
L;000526;PINOS DE CENTRO - AÇO 10.9 - CABEÇA BAIXA;
L;000527;ABRAÇADEIRAS MANGOTE;
L;000528;PARAFUSOS ELETROCALHA;
L;000529;ARRUELAS BICO INJETOR;
L;000530;TRAVAS JOANINHA BICA;
L;000531;PORCAS SEXTAVADAS DUPLAS - AÇO GRAU 5;
L;000532;PORCAS SEXTAVADAS DUPLAS - AÇO CLASSE 8;
L;000533;PORCAS SEXTAVADAS FLANGEADAS - FIAT;
L;000534;PARAFUSOS SEXTAVADOS - AÇO GRAU 8 - ROSCA PARCIAL;
L;000535;ABRAÇADEIRAS TIPO D;
L;000536;LIMAS ROTATIVAS;
L;000537;CONEXÕES RETAS TUBO ROSCA MACHO;
L;000538;PINOS DO CILINDRO;
L;000539;CHAVES DE RODA CRUZ;
L;000540;PORCA CALOTA;
L;000541;PARAFUSOS AUTO ATARRAXANTES PANELA FENDA;
L;000542;REBITE DE REPUXO INOX;
L;000543;MANIPULOS;
L;000544;PROTETORES DE OUVIDO;
L;000545;PORCAS BORBOLETA INOX;
L;000546;PARAFUSOS BROCANTES CABEÇA REDONDA TORX;
L;000547;BROCAS ENCAIXE RÁPIDO SDS MAX;
L;000548;SOQUETES UNIVERSAIS;
L;000549;PARAFUSOS ARADOS TIPO B1 - FERRO;
L;000550;ARRUELAS DE PRESSÃO INOX;
L;000551;ARRUELAS QUADRADAS;
L;000552;BARRAS ROSCADAS DE FERRO 5.8 - MB;
L;000553;ARRUELAS DE PVC PARA PARAFUSO TELHEIRO;
L;000554;REBITADORES PNEUMATICOS;
L;000555;LUVAS CARDAN;
L;000556;CABOS DE AÇO;
T;001.001;PARAFUSOS SEXTAVADOS;
L;001.001.001;PARAF SEXT POL AÇO GR5 ROSCA FINA (MB) RP ENEG;
T;001;PARAFUSOS;
