level;category;description;
L;000130;COTOVELOS GIRATÓRIOS;
L;000131;COXINS EM GERAL;
L;000132;CREMES PROTETORES PARA MÃOS;
L;000133;CRISTALIZADORES PARA VIDROS / PARABRISA;
L;000134;CRUZETAS;
L;000135;DESANDADORES UNIVERSAIS;
L;000136;DESCARBONIZANTES;
L;000137;DESENGRIPANTES;
L;000138;DISCOS DE CORTE;
L;000139;DISCOS DE DESBASTE;
L;000140;DISCOS DIAMANTADOS;
L;000141;DISCOS FLAP;
L;000142;DISCOS MULTIUSOS;
L;000143;ELETRODOS DE SOLDA;
L;000144;EMENDAS PARA MANGUEIRA DE COMPRESSOR;
L;000145;ENGATES RÁPIDOS;
L;000146;ESCÁPULAS;
L;000147;ESPIGÕES PARA MANGUEIRA DE COMPRESSOR;
L;000148;ESPUMAS PARA VEDAÇÃO AR CONDICIONADO;
L;000149;ESPUMA POLIURETANO PU;
L;000150;EXTENSÕES PARA SOQUETES;
L;000151;OUTRAS EXTENSÕES;
L;000152;FERRAMENTAS PARA VÁLVULAS DE PNEUS;
L;000153;FITAS ADESIVAS PARA EMPACOTAMENTO;
L;000154;FITAS CREPE;
L;000155;FITAS DUPLA FACE;
L;000156;FITAS ISOLANTES;
L;000157;TRAVA PARAFUSOS E PRISIONEIROS / FIXA ROLAMENTOS;
L;000158;FITAS VEDA ROSCA;
L;000159;FLANGES CARDAN;
L;000160;FOLHAS DE CORTIÇA;
L;000161;GANCHOS;
L;000162;GARFOS CARDAN;
L;000163;ACESSÓRIOS PARA BATERIAS;
L;000164;GAVETAS PLÁSTICAS;
L;000165;GRAFITES;
L;000166;GRAMPOS PARA CRUZETAS;
L;000167;GRAMPOS PARA BANDEJAS;
L;000168;GRAMPOS U;
L;000169;GRAXEIRAS 45º;
L;000170;GRAXEIRAS 90º;
L;000171;GRAXEIRAS RETAS;
L;000172;GRAXEIRAS DUPLAS;
L;000173;GRAXEIRAS LONGAS;
L;000174;GROSAS;
L;000175;HASTES MERCEDES BENZ;
L;000176;HIGIENIZADORES AR CONDICIONADO;
L;000177;CHAVES TORX;
L;000178;JOGOS DE JUNTAS ESCAPE / COLETOR;
L;000179;CALIBRES DE FOLGA;
L;000180;JOGOS DE MACHOS MANUAIS;
L;000181;JOGOS DE MACHOS MANUAIS PARA SACAR PARAFUSO;
L;000182;JOGOS DE PONTA MONTADA;
L;000183;JOGOS DE SACA PINOS;
L;000184;JUNTAS CATALISADORES;
L;000185;JUNTAS COLETOR DE ADMISSÃO;
L;000186;JUNTAS COLETOR ESCAPE;
L;000187;JUNTAS ENTRADA COLETOR;
L;000188;JUNTAS ESCAPE;
L;000189;JUNTAS FREIO;
L;000190;JUNTAS HOMOCINÉTICA;
L;000191;JUNTAS INTERMEDIÁRIAS;
L;000192;JUNTAS LÍQUIDAS;
L;000193;JUNTAS TUBO INTERNO;
L;000194;JUNTAS UNIVERSAIS;
L;000195;KITS FLEXÍVEIS PARA ESCAPE;
